a,b
0.14901424590336979,-0.0414792903513554
0.19430656143020775,0.45690895692240757
-0.07024601241700079,-0.07024108708475416
0.47376384465221744,0.23023041874587263
-0.14084231578048562,0.1627680130757894
-0.13902530784373868,-0.13971892607107705
0.07258868146981023,-0.5739840733973394
-0.5174753497539099,-0.1686862587722918
-0.3038493361003271,0.09427419977858216
-0.27240722265636325,-0.42369111040058743
0.4396946306764662,-0.06773289014596069
0.02025846140637715,-0.42742445586403705
-0.1633148173575548,0.03327677691295983
-0.3452980732266908,0.11270940550370158
-0.1801916069756415,-0.08750812493798303
-0.18051198366881907,0.5556834553526813
-0.004049167421380176,-0.3173132786867701
0.2467634736309567,-0.36625309499130665
0.06265907850142662,-0.5879010371639326
-0.3984558146695291,0.059058370760737056
0.22153997399862313,0.051410484356991144
-0.03469448471647216,-0.09033110867678663
-0.4435565971102282,-0.2159532625184126
-0.13819163128793624,0.3171366678656747
0.10308548687053842,-0.5289120466088202
0.0972251908184385,-0.11552468412489496
-0.2030766000917876,0.18350288665226036
0.3092998567487853,0.27938403573485954
-0.25176525696679153,-0.09276371275536437
0.09937902942106919,0.29266353813670776
-0.14375227135358698,-0.055697692999145135
-0.33190049220180845,-0.3588619872242012
0.2437577467182594,0.4068720085712469
-0.021603036474100154,0.30105986936760726
0.10849080751429024,-0.19353592638153727
0.10841868165252418,0.46141096993979075
-0.010747811732985462,0.4693930967442018
-0.7859235312269233,0.24657075131256714
0.02611412047145136,-0.08970220513976022
0.027528232960650687,-0.5962706743802678
-0.06590156635125358,0.10713377145352392
0.4433682134224548,-0.1554810654820942
-0.24254808086795626,-0.15052711307536096
0.27462063531062225,0.09862533289790533
-0.15892806113011163,0.1539802299340068
0.029123264804412116,0.29059349715986676
-0.2106159281632057,-0.09829864397933046
-0.11763244593964728,-0.4390544844396356
0.08883608311937281,0.0783165816539668
0.001534036992738267,-0.07037614001254407
-0.42461122261512424,-0.1261935968296077
-0.10281435495803085,-0.24068318076648565
-0.04838571349980274,0.12121525704436151
0.565855770363159,0.05237334384955169
0.07726511721682931,-0.022333774729850164
-0.5756313645897124,-0.007954162634765062
0.01806906298230793,0.7389726337455859
-0.05770828943433676,0.09046420270008373
-0.010413530911572993,-0.3506034112858596
0.34284684435450613,0.22557990980603224
0.23730958411291406,-0.2728162364384217
0.4208382932808297,-0.42055531883768427
0.1760571281400811,0.6571366877429935
-0.2971608975392065,-0.16988931888083156
0.029895409526292365,-0.15104269623485975
-0.4651990293198398,0.020568892441808196
-0.31869111411783146,0.14207772919055447
-0.2758272702701409,0.4649803215052618
-0.2349759877008711,-0.09661845486170267
0.24405516521090093,-0.36925929493018655
0.06823798038123882,0.3921428262847284
